"Elster Metering Systems","Printed: Tuesday, January 21, 2020 1:15:58 PM","","","","","","",""
"","Hill Side Apartments","","","","","","",""
"Script Generated by SMARTset Version 1.1.6438.16169","","","","","","","",""
"Reading Created by SMARTset Version 1.1.6438.16169","","","","","","","",""
"Meter Firmware Build: 2-01381-D","","","","","","","",""
"Status: Program Completed Normally.   (000000)","","","","","","","",""
"Meter Constants","","","","","","","",""
"","Meter Constants","","","","","","",""
"","","Current Connection","","","","","",""
"","","","","Primary","Secondary","","Ratio",""
"","","","CT/VT","150","5","=","30.000",""
"","CT/VT Error","","","","","","",""
"","","CT Error %","0.00%","","","","",""
"","","VT Error %","0.00%","","","","",""
"","","","","","","","",""
"Time and Date","","","","","","","",""
"","Daylight Saving Setup","","","","","","",""
"","","Daylight Saving","Enabled","","","","",""
"","","Advance On","Every First Sunday of September at 01:00","","","","",""
"","","Retard On","Every First Sunday of April at 02:00","","","","",""
"","","Adjust By","1 hours","","","","",""
"","Meter Time","","","","","","",""
"","Meter Time:","Tuesday, October 22, 2019 8:39:36 AM","","","","","",""
"","PC (or HHU) clock:","Tuesday, October 22, 2019 8:35:51 AM","","","","","",""
"","Difference:","Meter is 0 days, 0 hours, 3 minutes, 45 seconds ahead","","","","","",""
"","","","","","","","",""
"Current Values","","","","","","","",""
"","Cumulative Registers","","","","","","",""
"","","","Rate 1","238,194,423.600","Import Wh","","",""
"","","","Rate 2","259,812,136.800","Import Wh","","",""
"","","","Rate 3","367,573,436.400","Import Wh","","",""
"","","","Rate 4","865,579,996.800","Import Wh","","",""
"","","","Rate 5","0.000","Export Wh","","",""
"","","","Rate 6","0.000","No source","","",""
"","","","Rate 7","0.000","No source","","",""
"","","","Rate 8","0.000","No source","","",""
"","","","Rate 9","0.000","No source","","",""
"","","","Rate 10","0.000","No source","","",""
"","","","Rate 11","0.000","No source","","",""
"","","","Rate 12","0.000","No source","","",""
"","","","Rate 13","0.000","No source","","",""
"","","","Rate 14","0.000","No source","","",""
"","","","Rate 15","0.000","No source","","",""
"","","","Rate 16","0.000","No source","","",""
"","","","Rate 17","0.000","No source","","",""
"","","","Rate 18","0.000","No source","","",""
"","","","Rate 19","0.000","No source","","",""
"","","","Rate 20","0.000","No source","","",""
"","","","Rate 21","0.000","No source","","",""
"","","","Rate 22","0.000","No source","","",""
"","","","Rate 23","0.000","No source","","",""
"","","","Rate 24","0.000","No source","","",""
"","","","Rate 25","0.000","No source","","",""
"","","","Rate 26","0.000","No source","","",""
"","","","Rate 27","0.000","No source","","",""
"","","","Rate 28","0.000","No source","","",""
"","","","Rate 29","0.000","No source","","",""
"","","","Rate 30","0.000","No source","","",""
"","","","Rate 31","0.000","No source","","",""
"","","","Rate 32","0.000","No source","","",""
"","","Maximum Demands","","","","","",""
"","","","Ref","Value","Source","Date and Time","",""
"","","","MD 1a","35,344.800","Total VA","Saturday, September 21, 2019 9:00:00 AM","",""
"","","","MD 1b","32,431.200","Total VA","Saturday, September 21, 2019 8:30:00 AM","",""
"","","","MD 1c","32,354.400","Total VA","Friday, September 20, 2019 9:00:00 AM","",""
"","","","","","","","",""
"","","","MD 2a","0.000","No source","Not available","",""
"","","","MD 2b","0.000","No source","Not available","",""
"","","","MD 2c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 3a","0.000","No source","Not available","",""
"","","","MD 3b","0.000","No source","Not available","",""
"","","","MD 3c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 4a","0.000","No source","Not available","",""
"","","","MD 4b","0.000","No source","Not available","",""
"","","","MD 4c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 5a","0.000","No source","Not available","",""
"","","","MD 5b","0.000","No source","Not available","",""
"","","","MD 5c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 6a","0.000","No source","Not available","",""
"","","","MD 6b","0.000","No source","Not available","",""
"","","","MD 6c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 7a","0.000","No source","Not available","",""
"","","","MD 7b","0.000","No source","Not available","",""
"","","","MD 7c","0.000","No source","Not available","",""
"","","","","","","","",""
"","","","MD 8a","0.000","No source","Not available","",""
"","","","MD 8b","0.000","No source","Not available","",""
"","","","MD 8c","0.000","No source","Not available","",""
"","","Cumulative Maximum Demands","","","","","",""
"","","","Ref","Value","Source","","",""
"","","","CMD 1","2,547,938.880","Total VA","","",""
"","","","CMD 2","0.000","No source","","",""
"","","","CMD 3","0.000","No source","","",""
"","","","CMD 4","0.000","No source","","",""
"","","","CMD 5","0.000","No source","","",""
"","","","CMD 6","0.000","No source","","",""
"","","","CMD 7","0.000","No source","","",""
"","","","CMD 8","0.000","No source","","",""
"","","MU Totals","","","","","",""
"","","","Value","Source","","","",""
"","","","0.000","Multi-utility register 1","","","",""
"","","","0.000","Multi-utility register 2","","","",""
"","","","0.000","Multi-utility register 3","","","",""
"","","","0.000","Multi-utility register 4","","","",""
"","","Coincident Demands","","","","","",""
"","","","Ref","Value","Source","","",""
"","","","CD 1a","0.000","No source","","",""
"","","","CD 1b","0.000","No source","","",""
"","","","CD 1c","0.000","No source","","",""
"","","","","","","","",""
"","","","CD 2a","0.000","No source","","",""
"","","","CD 2b","0.000","No source","","",""
"","","","CD 2c","0.000","No source","","",""
"","","","","","","","",""
"","","","CD 3a","0.000","No source","","",""
"","","","CD 3b","0.000","No source","","",""
"","","","CD 3c","0.000","No source","","",""
"","","","","","","","",""
"","","","CD 4a","0.000","No source","","",""
"","","","CD 4b","0.000","No source","","",""
"","","","CD 4c","0.000","No source","","",""
"","","","","","","","",""
"","","","CD 5a","0.000","No source","","",""
"","","","CD 5b","0.000","No source","","",""
"","","","CD 5c","0.000","No source","","",""
"","","Billing Event Details","","","","","",""
"","","","Time of Billing Reset","Tuesday, October 1, 2019 12:00 AM","","","",""
"","","","Count","57.000","","","",""
"","","","Period Start","Sunday, September 1, 2019 12:00 AM","","","",""
"","","","Period End","Tuesday, October 1, 2019 12:00 AM","","","",""
"","","","Billing Reason","","","","",""
"","","","","Automatic Billing Date","","","",""
